"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
CISO,"10/24/2022 12 a.m. PDT",1366,-25,717,-238,46,11021,3,1117
CISO,"10/24/2022 1 a.m. PDT",1034,-26,698,-110,46,10826,3,1117
CISO,"10/24/2022 2 a.m. PDT",929,-25,174,-245,46,11016,3,1117
CISO,"10/24/2022 3 a.m. PDT",832,-25,93,-212,46,11298,4,1117
CISO,"10/24/2022 4 a.m. PDT",821,-25,98,-72,46,11361,4,1116
CISO,"10/24/2022 5 a.m. PDT",869,-26,133,-253,46,11953,4,1118
CISO,"10/24/2022 6 a.m. PDT",1093,-26,505,132,46,12583,4,1118
CISO,"10/24/2022 7 a.m. PDT",1290,-23,1063,516,46,13481,4,1118
CISO,"10/24/2022 8 a.m. PDT",1210,1501,896,540,46,13619,4,1119
CISO,"10/24/2022 9 a.m. PDT",1059,7350,697,-482,46,11075,3,1120
CISO,"10/24/2022 10 a.m. PDT",860,10533,714,-1172,46,8919,4,1120
CISO,"10/24/2022 11 a.m. PDT",827,11272,817,-1617,46,7789,4,1119
CISO,"10/24/2022 12 p.m. PDT",731,11013,759,-1180,46,7017,4,1118
CISO,"10/24/2022 1 p.m. PDT",628,10850,700,-960,46,6851,4,1118
CISO,"10/24/2022 2 p.m. PDT",587,10348,685,-356,46,6148,3,1117
CISO,"10/24/2022 3 p.m. PDT",465,10101,668,174,46,5892,3,1116
CISO,"10/24/2022 4 p.m. PDT",411,10018,752,239,46,6871,4,1115
CISO,"10/24/2022 5 p.m. PDT",435,8259,1026,319,46,9063,4,1115
CISO,"10/24/2022 6 p.m. PDT",431,2272,2150,1483,46,12588,4,1118
CISO,"10/24/2022 7 p.m. PDT",437,138,2699,1596,46,13779,4,1119
CISO,"10/24/2022 8 p.m. PDT",450,-42,2814,1278,46,13143,3,1118
CISO,"10/24/2022 9 p.m. PDT",598,-42,2675,918,46,12542,3,1119
CISO,"10/24/2022 10 p.m. PDT",811,-43,2749,387,46,11766,3,1119
CISO,"10/24/2022 11 p.m. PDT",803,-42,1317,276,46,11940,3,1122
CISO,"10/25/2022 12 a.m. PDT",910,-43,1020,-6,46,11128,3,1120
CISO,"10/25/2022 1 a.m. PDT",1188,-43,452,-127,46,10787,3,1118
CISO,"10/25/2022 2 a.m. PDT",1288,-43,342,-324,46,10444,3,1118
CISO,"10/25/2022 3 a.m. PDT",1360,-43,299,-188,46,10153,3,1117
CISO,"10/25/2022 4 a.m. PDT",1146,-31,-23,-85,46,10633,3,1117
CISO,"10/25/2022 5 a.m. PDT",1238,-25,57,-34,46,11167,3,1117
CISO,"10/25/2022 6 a.m. PDT",1334,-26,136,150,46,11813,4,1117
CISO,"10/25/2022 7 a.m. PDT",1180,-24,771,840,46,12895,3,1117
CISO,"10/25/2022 8 a.m. PDT",1091,1384,715,783,46,12934,3,1117
CISO,"10/25/2022 9 a.m. PDT",780,6885,613,-80,46,9245,2,1117
CISO,"10/25/2022 10 a.m. PDT",517,10391,881,-787,46,7258,1,1118
CISO,"10/25/2022 11 a.m. PDT",467,11183,801,-958,46,7217,1,1117
CISO,"10/25/2022 12 p.m. PDT",658,11468,753,-994,46,6589,1,1116
CISO,"10/25/2022 1 p.m. PDT",696,11293,754,-1077,46,6780,1,1115
CISO,"10/25/2022 2 p.m. PDT",1014,10514,791,-502,46,6495,2,1115
CISO,"10/25/2022 3 p.m. PDT",1553,9790,787,-140,46,6614,3,1115
CISO,"10/25/2022 4 p.m. PDT",1547,9683,873,225,46,7654,3,1114
CISO,"10/25/2022 5 p.m. PDT",1799,7748,1041,451,46,10020,3,1114
CISO,"10/25/2022 6 p.m. PDT",1756,1952,2057,1695,46,12891,4,1115
CISO,"10/25/2022 7 p.m. PDT",1938,8,2265,2020,46,13810,3,1116
CISO,"10/25/2022 8 p.m. PDT",2235,-24,2257,1641,46,13388,3,1117
CISO,"10/25/2022 9 p.m. PDT",2304,-23,1614,1419,46,13120,3,1118
CISO,"10/25/2022 10 p.m. PDT",2786,-24,1409,607,46,12765,3,1119
CISO,"10/25/2022 11 p.m. PDT",3009,-24,983,67,46,11552,3,1121
CISO,"10/26/2022 12 a.m. PDT",2968,-25,910,-195,46,10883,2,1121
CISO,"10/26/2022 1 a.m. PDT",2947,-25,737,-290,46,10159,3,1121
CISO,"10/26/2022 2 a.m. PDT",2891,-25,651,-271,46,9589,3,1121
CISO,"10/26/2022 3 a.m. PDT",2804,-25,273,-507,46,10160,4,1121
CISO,"10/26/2022 4 a.m. PDT",2544,-25,277,-218,46,9948,4,1122
CISO,"10/26/2022 5 a.m. PDT",2359,-26,320,59,46,10514,4,1123
CISO,"10/26/2022 6 a.m. PDT",2243,-26,536,274,46,11402,3,1123
CISO,"10/26/2022 7 a.m. PDT",2129,-25,1520,707,46,11944,3,1124
CISO,"10/26/2022 8 a.m. PDT",2545,1238,1488,377,46,11469,3,1125
CISO,"10/26/2022 9 a.m. PDT",2217,6741,1491,-21,46,8419,3,1126
CISO,"10/26/2022 10 a.m. PDT",2038,8700,1151,-1170,46,8178,3,1127
CISO,"10/26/2022 11 a.m. PDT",2049,9898,735,-1586,46,7778,4,1128
CISO,"10/26/2022 12 p.m. PDT",2142,10210,631,-1423,46,6874,4,1128
CISO,"10/26/2022 1 p.m. PDT",2063,9804,638,-708,46,5760,4,1127
CISO,"10/26/2022 2 p.m. PDT",2086,10607,734,-294,46,4787,4,1122
CISO,"10/26/2022 3 p.m. PDT",2386,10525,876,94,46,4582,4,1120
CISO,"10/26/2022 4 p.m. PDT",2476,9794,786,441,46,5624,5,1119
CISO,"10/26/2022 5 p.m. PDT",2340,7339,1085,509,46,7893,5,1119
CISO,"10/26/2022 6 p.m. PDT",2388,1668,2398,1243,46,10603,5,1120
CISO,"10/26/2022 7 p.m. PDT",3046,39,2682,1673,46,11159,3,1121
CISO,"10/26/2022 8 p.m. PDT",3230,3,2719,1345,46,11158,3,1121
CISO,"10/26/2022 9 p.m. PDT",3357,-41,2420,752,46,11413,4,1122
CISO,"10/26/2022 10 p.m. PDT",3484,-43,2225,338,46,11542,3,1123
CISO,"10/26/2022 11 p.m. PDT",3608,-34,1758,112,46,11153,3,1125
CISO,"10/27/2022 12 a.m. PDT",3681,-25,1442,75,46,10345,3,1126
CISO,"10/27/2022 1 a.m. PDT",3404,-24,1159,-50,46,9721,3,1126
CISO,"10/27/2022 2 a.m. PDT",3362,-24,1146,-58,46,8711,3,1126
CISO,"10/27/2022 3 a.m. PDT",3025,-24,1158,-152,46,8683,4,1127
CISO,"10/27/2022 4 a.m. PDT",2191,-25,1142,34,46,8905,4,1127
CISO,"10/27/2022 5 a.m. PDT",1465,-25,1227,68,46,10079,5,1127
CISO,"10/27/2022 6 a.m. PDT",1090,-26,1389,479,46,11410,5,1127
CISO,"10/27/2022 7 a.m. PDT",932,-30,2126,1284,46,11640,5,1127
CISO,"10/27/2022 8 a.m. PDT",835,1226,2408,493,46,11659,4,1127
CISO,"10/27/2022 9 a.m. PDT",834,6836,1611,84,46,9110,3,1128
CISO,"10/27/2022 10 a.m. PDT",1073,10465,844,-360,46,7183,4,1129
CISO,"10/27/2022 11 a.m. PDT",1195,11038,438,-973,46,7479,5,1129
CISO,"10/27/2022 12 p.m. PDT",1104,10999,178,-1009,46,7784,4,1130
CISO,"10/27/2022 1 p.m. PDT",998,10687,209,-830,46,7431,4,1128
CISO,"10/27/2022 2 p.m. PDT",862,11240,216,-602,46,7076,4,1125
CISO,"10/27/2022 3 p.m. PDT",740,11229,387,-303,46,6886,3,1126
CISO,"10/27/2022 4 p.m. PDT",745,10652,641,249,46,6917,4,1126
CISO,"10/27/2022 5 p.m. PDT",769,7852,883,622,46,9468,4,1124
CISO,"10/27/2022 6 p.m. PDT",822,1718,2049,1694,50,12270,4,1121
CISO,"10/27/2022 7 p.m. PDT",784,-3,2090,2116,51,12995,3,1122
CISO,"10/27/2022 8 p.m. PDT",685,-44,2250,1957,58,13146,3,1123
CISO,"10/27/2022 9 p.m. PDT",632,-43,2009,1379,71,13351,3,1124
CISO,"10/27/2022 10 p.m. PDT",631,-44,1900,730,78,13609,3,1124
CISO,"10/27/2022 11 p.m. PDT",624,-44,1387,245,85,13377,4,1125
CISO,"10/28/2022 12 a.m. PDT",677,-45,1096,44,86,12349,4,1127
CISO,"10/28/2022 1 a.m. PDT",639,-44,796,111,87,12063,4,1128
CISO,"10/28/2022 2 a.m. PDT",511,-44,233,-25,87,12260,4,1128
CISO,"10/28/2022 3 a.m. PDT",501,-44,183,-208,87,12060,5,1128
CISO,"10/28/2022 4 a.m. PDT",616,-44,99,-173,87,11906,3,1129
CISO,"10/28/2022 5 a.m. PDT",619,-44,153,119,87,12615,3,1128
CISO,"10/28/2022 6 a.m. PDT",615,-46,414,624,87,12999,3,1127
CISO,"10/28/2022 7 a.m. PDT",668,-45,1237,1106,87,13504,3,1126
CISO,"10/28/2022 8 a.m. PDT",662,1250,1240,717,88,13702,2,1124
CISO,"10/28/2022 9 a.m. PDT",469,7101,896,290,88,9484,2,1123
CISO,"10/28/2022 10 a.m. PDT",451,10871,461,-936,89,7756,2,1122
CISO,"10/28/2022 11 a.m. PDT",459,11521,430,-1529,89,8036,2,1122
CISO,"10/28/2022 12 p.m. PDT",398,11355,336,-1817,89,8473,2,1121
CISO,"10/28/2022 1 p.m. PDT",428,11032,301,-1353,89,7966,4,1121
CISO,"10/28/2022 2 p.m. PDT",398,10584,310,-1144,89,8039,4,1121
CISO,"10/28/2022 3 p.m. PDT",272,9963,331,-341,90,7870,4,1120
CISO,"10/28/2022 4 p.m. PDT",170,8586,363,431,90,8452,3,1120
CISO,"10/28/2022 5 p.m. PDT",276,4965,979,679,89,10879,3,1121
CISO,"10/28/2022 6 p.m. PDT",328,1118,1725,1054,90,12856,3,1120
CISO,"10/28/2022 7 p.m. PDT",359,-4,1934,1882,90,13080,3,1117
CISO,"10/28/2022 8 p.m. PDT",278,-43,1871,1374,84,13136,3,1117
CISO,"10/28/2022 9 p.m. PDT",284,-42,1596,1017,85,13840,3,1118
CISO,"10/28/2022 10 p.m. PDT",307,-43,1178,524,90,14224,3,1119
CISO,"10/28/2022 11 p.m. PDT",403,-43,1056,245,90,13834,3,1121
CISO,"10/29/2022 12 a.m. PDT",493,-43,580,-5,90,13318,3,1123
CISO,"10/29/2022 1 a.m. PDT",705,-45,426,608,90,12807,3,1124
CISO,"10/29/2022 2 a.m. PDT",756,-45,396,284,90,12631,3,1125
CISO,"10/29/2022 3 a.m. PDT",493,-45,279,221,90,12430,3,1126
CISO,"10/29/2022 4 a.m. PDT",486,-44,234,10,90,12399,3,1126
CISO,"10/29/2022 5 a.m. PDT",577,-44,242,-179,85,12477,3,1125
CISO,"10/29/2022 6 a.m. PDT",606,-45,324,185,46,12617,3,1124
CISO,"10/29/2022 7 a.m. PDT",375,-44,699,612,46,12863,3,1124
CISO,"10/29/2022 8 a.m. PDT",281,1181,971,142,46,12717,3,1125
CISO,"10/29/2022 9 a.m. PDT",110,6931,1167,-53,52,7926,3,1126
CISO,"10/29/2022 10 a.m. PDT",122,10787,798,-1268,58,6311,3,1126
CISO,"10/29/2022 11 a.m. PDT",170,11321,657,-1619,74,6503,3,1125
CISO,"10/29/2022 12 p.m. PDT",181,11242,599,-1660,81,6465,4,1124
CISO,"10/29/2022 1 p.m. PDT",204,11173,610,-1588,85,6289,3,1124
CISO,"10/29/2022 2 p.m. PDT",210,11135,609,-1027,87,5651,3,1123
CISO,"10/29/2022 3 p.m. PDT",131,11110,630,-274,90,5238,3,1122
CISO,"10/29/2022 4 p.m. PDT",255,10462,684,367,90,5297,3,1121
CISO,"10/29/2022 5 p.m. PDT",660,7213,1113,494,90,7950,4,1120
CISO,"10/29/2022 6 p.m. PDT",1154,1479,2560,1229,90,10864,3,1120
CISO,"10/29/2022 7 p.m. PDT",1440,31,2634,1579,90,11599,3,1120
CISO,"10/29/2022 8 p.m. PDT",2040,-22,2400,1182,90,11129,3,1119
CISO,"10/29/2022 9 p.m. PDT",1847,-43,2550,1253,90,10779,2,1119
CISO,"10/29/2022 10 p.m. PDT",1557,-44,1837,1377,90,10793,2,1119
CISO,"10/29/2022 11 p.m. PDT",1195,-45,1060,873,90,11428,2,1120
CISO,"10/30/2022 12 a.m. PDT",1152,-44,593,298,90,11611,3,1121
CISO,"10/30/2022 1 a.m. PDT",1138,-44,235,582,91,10924,3,1123
CISO,"10/30/2022 2 a.m. PDT",1454,-44,175,191,90,10655,4,1124
CISO,"10/30/2022 3 a.m. PDT",1304,-44,133,74,91,10368,4,1126
CISO,"10/30/2022 4 a.m. PDT",820,-44,146,-90,91,10298,3,1126
CISO,"10/30/2022 5 a.m. PDT",751,-44,163,51,91,10419,3,1127
CISO,"10/30/2022 6 a.m. PDT",577,-45,221,125,91,10525,3,1126
CISO,"10/30/2022 7 a.m. PDT",649,-45,333,471,90,10551,3,1127
CISO,"10/30/2022 8 a.m. PDT",486,691,679,641,90,10485,3,1127
CISO,"10/30/2022 9 a.m. PDT",250,5775,537,-3,90,7516,3,1127
CISO,"10/30/2022 10 a.m. PDT",237,10083,299,-747,91,5761,4,1126
CISO,"10/30/2022 11 a.m. PDT",368,10461,239,-1063,90,5614,4,1125
CISO,"10/30/2022 12 p.m. PDT",503,10486,222,-1393,90,5909,4,1125
CISO,"10/30/2022 1 p.m. PDT",532,10603,216,-1470,90,5840,4,1125
CISO,"10/30/2022 2 p.m. PDT",486,10770,225,-1076,90,5651,4,1124
CISO,"10/30/2022 3 p.m. PDT",443,10968,229,-238,90,5067,4,1124
CISO,"10/30/2022 4 p.m. PDT",452,10490,265,294,90,5403,4,1126
CISO,"10/30/2022 5 p.m. PDT",377,7244,841,550,90,7642,4,1127
CISO,"10/30/2022 6 p.m. PDT",394,1383,2311,1751,90,10791,4,1128
CISO,"10/30/2022 7 p.m. PDT",481,-2,2452,1864,90,11590,3,1127
CISO,"10/30/2022 8 p.m. PDT",551,-16,2570,1693,90,10965,4,1126
CISO,"10/30/2022 9 p.m. PDT",602,-25,2408,1148,90,11173,4,1126
CISO,"10/30/2022 10 p.m. PDT",713,-26,2096,613,90,11060,4,1126
CISO,"10/30/2022 11 p.m. PDT",727,-27,1353,292,90,11078,4,1126
CISO,"10/31/2022 12 a.m. PDT",775,-27,394,73,90,11531,4,1127
